Date,BCH-USD,BTC-USD,LEO-USD,STETH-USD
2021-01-01,341.98565673828125,29374.15234375,1.3564050197601318,722.1671752929688
2021-01-02,354.5999450683594,32127.267578125,1.3565900325775146,763.078125
2021-01-03,421.78985595703125,32782.0234375,1.3529280424118042,952.1997680664062
2021-01-04,407.9369201660156,31971.9140625,1.3482320308685303,991.251220703125
2021-01-05,419.76812744140625,33992.4296875,1.3506109714508057,1103.26123046875
2021-01-06,454.484130859375,36824.36328125,1.3434970378875732,1181.4349365234375
2021-01-07,449.5687255859375,39371.04296875,1.333840012550354,1214.6373291015625
2021-01-08,441.0582275390625,40797.609375,1.3351999521255493,1228.1851806640625
2021-01-09,573.911376953125,40254.546875,1.3405989408493042,1247.8734130859375
2021-01-10,603.5962524414062,38356.44140625,1.3369200229644775,1281.677001953125
2021-01-11,479.58734130859375,35566.65625,1.336972951889038,1095.703125
2021-01-12,450.2796630859375,33922.9609375,1.3308130502700806,1034.85302734375
2021-01-13,495.7847595214844,37316.359375,1.3338359594345093,1138.37060546875
2021-01-14,526.3295288085938,39187.328125,1.3360329866409302,1211.4788818359375
2021-01-15,492.58984375,36825.3671875,1.3366470336914062,1170.951904296875
2021-01-16,490.98162841796875,36178.140625,1.331676959991455,1224.3394775390625
2021-01-17,478.7698059082031,35791.27734375,1.329753041267395,1197.7623291015625
2021-01-18,510.4153137207031,36630.07421875,1.3295459747314453,1226.3419189453125
2021-01-19,511.072265625,36069.8046875,1.3315629959106445,1358.8095703125
2021-01-20,499.3244934082031,35547.75,1.3299740552902222,1342.8603515625
2021-01-21,419.58514404296875,30825.69921875,1.3335429430007935,1118.6336669921875
2021-01-22,441.5264892578125,33005.76171875,1.3299039602279663,1222.072509765625
2021-01-23,431.5047302246094,32067.642578125,1.328565001487732,1230.167724609375
2021-01-24,440.10333251953125,32289.37890625,1.3290400505065918,1341.5460205078125
2021-01-25,433.802490234375,32366.392578125,1.314357042312622,1330.399658203125
2021-01-26,428.0443420410156,32569.849609375,1.316673994064331,1351.9599609375
2021-01-27,378.0301513671875,30432.546875,1.3154610395431519,1253.2640380859375
2021-01-28,405.3744812011719,33466.09765625,1.313796043395996,1333.482666015625
2021-01-29,407.5032958984375,34316.38671875,1.3066389560699463,1363.721435546875
2021-01-30,414.9421081542969,34269.5234375,1.3068959712982178,1336.9901123046875
2021-01-31,399.7699279785156,33114.359375,1.302554965019226,1326.3629150390625
2021-02-01,414.02044677734375,33537.17578125,1.3048980236053467,1371.2005615234375
2021-02-02,430.15142822265625,35510.2890625,1.3047809600830078,1515.1094970703125
2021-02-03,444.8460693359375,37472.08984375,1.3035409450531006,1657.398681640625
2021-02-04,420.81964111328125,36926.06640625,1.3810759782791138,1594.2725830078125
2021-02-05,446.4588928222656,38144.30859375,1.384829044342041,1719.5589599609375
2021-02-06,457.6355895996094,39266.01171875,1.385172963142395,1677.891357421875
2021-02-07,445.169677734375,38903.44140625,1.3838870525360107,1614.6512451171875
2021-02-08,483.7041320800781,46196.46484375,1.3895200490951538,1747.38818359375
2021-02-09,513.53271484375,46481.10546875,1.3864680528640747,1762.4141845703125
2021-02-10,494.9677734375,44918.18359375,1.3864870071411133,1711.0965576171875
2021-02-11,529.7373657226562,47909.33203125,1.3849270343780518,1781.585693359375
2021-02-12,577.6043090820312,47504.8515625,1.3837950229644775,1834.777587890625
2021-02-13,663.6793823242188,47105.515625,1.392477035522461,1812.8143310546875
2021-02-14,724.0156860351562,48717.2890625,1.3842970132827759,1806.043212890625
2021-02-15,712.4305419921875,47945.05859375,1.3823519945144653,1730.6304931640625
2021-02-16,707.29150390625,49199.87109375,1.3828190565109253,1776.184814453125
2021-02-17,716.6982421875,52149.0078125,1.3853759765625,1827.8228759765625
2021-02-18,705.9884643554688,51679.796875,1.3858009576797485,1932.12255859375
2021-02-19,720.8218994140625,55888.1328125,1.5593249797821045,1950.086181640625
2021-02-20,682.1824340820312,56099.51953125,1.5225900411605835,1913.7674560546875
2021-02-21,707.5924072265625,57539.9453125,1.484071969985962,1925.00830078125
2021-02-22,630.349853515625,54207.3203125,1.5115629434585571,1766.501953125
2021-02-23,513.1873779296875,48824.42578125,1.9561259746551514,1552.86181640625
2021-02-24,527.0413818359375,49705.33203125,1.9290200471878052,1607.3670654296875
2021-02-25,496.91265869140625,47093.8515625,1.9409290552139282,1462.032958984375
2021-02-26,484.5122375488281,46339.76171875,2.018634080886841,1443.3668212890625
2021-02-27,483.7453308105469,46188.453125,2.0310308933258057,1423.6878662109375
2021-02-28,459.91448974609375,45137.76953125,1.908750057220459,1386.9700927734375
2021-03-01,500.9513854980469,49631.2421875,2.101572036743164,1531.6319580078125
2021-03-02,517.01416015625,48378.98828125,1.9214409589767456,1454.9478759765625
2021-03-03,523.5786743164062,50538.2421875,1.9188469648361206,1536.8929443359375
2021-03-04,506.8732604980469,48561.16796875,1.9093749523162842,1490.3192138671875
2021-03-05,498.98980712890625,48927.3046875,1.8753830194473267,1487.0384521484375
2021-03-06,501.21270751953125,48912.3828125,1.9080220460891724,1598.3372802734375
2021-03-07,516.1735229492188,51206.69140625,1.8765480518341064,1635.33203125
2021-03-08,528.9968872070312,52246.5234375,1.9161609411239624,1782.5750732421875
2021-03-09,545.0260009765625,54824.1171875,1.9953089952468872,1828.2249755859375
2021-03-10,546.839599609375,56008.55078125,2.014936923980713,1749.0982666015625
2021-03-11,549.783203125,57805.12109375,2.056088924407959,1769.477783203125
2021-03-12,539.2164916992188,57332.08984375,1.990285038948059,1733.945556640625
